Número de expediente,fecha_publicacion,anio_publicacion,mes_publicacion,ambito_geografico,comunidad_autonoma,Tipo de contrato,Tipo de Administración,tipo_organo,Tipo de procedimiento,procedimiento_agrupado,Tramitación,presupuesto_expediente,Presupuesto base sin impuestos oportunidad,Valor estimado del contrato,tramo_presupuesto,duracion_meses,tramo_duracion,tiene_lotes,numero_lotes_dashboard,Resultado licitación/lote,resultado_agrupado,ganador_grupo,gano_gee,decision_licitacion,objeto_normalizado
SER-14-284-ORG,2015-03-01,2015.0,3.0,Nacional,Nacional,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Normas internas,Normas internas,Ordinaria,45696.37,45696.37,,25.000 – 50.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,grupo_gee,True,Licita,CONTRATACION DEL SERVICIO DE VERIFICACION DEL EQUIPAMIENTO SANITARIO ELECTROMEDICO DE LOS CENTROS ASISTENCIALES DE UMIVALE
RNSE-428,2015-05-01,2015.0,5.0,Nacional,Nacional,Servicios,Autoridad estatal,Administración Pública,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,22080.0,22080.0,48576.0,10.000 – 25.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO DE UN MICROSCOPIO ELECTRONICO MARCA CARL ZEISS UBICADO EN EL DEPARTAMENTO DE MADRID DEL INSTITUTO NACIONAL DE TOXICOLOGIA Y CIENCIAS FORENSES
NSE/2014/060,2015-07-01,2015.0,7.0,Nacional,Nacional,Servicios,Autoridad estatal,Administración Pública,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,76407.42,76407.42,,50.000 – 100.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO INTEGRAL DE LOS EQUIPOS DE OBTENCION DE AGUA DESTILADA MARCA MILLIPORE UBICADOS EN LOS DEPARTAMENTOS DEL INSTITUTO NACIONAL DE TOXICOLOGIA Y CIENCIAS FORENSES
SER-15-350-ORG,2015-10-01,2015.0,10.0,Nacional,Nacional,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Normas internas,Normas internas,Ordinaria,54551.6,54551.6,81827.4,50.000 – 100.000 €,48.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,Otros,False,,CONTRATACION DEL SERVICIO DE DOSIMETRIA PERSONAL PARA PROFESIONALES SANITARIOS QUE TRABAJEN EN LAS INSTALACIONES DE RX Y SERVICIOS DE ASESORIA Y FORMACION EN GESTION DOSIMETRICA
2015/C1/ASC/026,2016-01-01,2016.0,1.0,Nacional,Nacional,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,206640.04,206640.04,847244.16,100.000 – 250.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE MANTENIMINETO INTEGRAL Y O PREVENTIVO D ELAS INSTALACIONES DE RADIODIAGNOSTICO ECOGRAFOS MONITORIZACION DE UCI Y DESFIBRILADORES EN EL CENTRO DE REHABILITACION DE MAZ
2015/C1/ASC/038,2016-03-01,2016.0,3.0,Nacional,Nacional,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,220761.24,220761.24,1147958.45,100.000 – 250.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,,SERVICIO DE MANTENIMIENTO DE EQUIPOS DE RADIOLOGIA CONVENCIONAL Y PROCESADORAS PARA LOS CENTROS ASISTENCIALES DE MAZ M A T E P S S N 11
18/17,2016-12-01,2016.0,12.0,Nacional,Nacional,Servicios,Autoridad estatal,Administración Pública,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,7864.0,7864.0,18087.2,< 10.000 €,36.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE MANTENIMIENTO DE EQUIPOS DE INSPECCION DE RAYOS X INSTALADOS EN LOS CONTROLES DE ACCESO AL COMPLEJO DE LA MONCLOA Y AREAS ESPECIALES
Exp 2017-09,2017-03-01,2017.0,3.0,es52,Comunitat Valenciana,Servicios,Otras Entidades del Sector Público,Investigación,Abierto,Abierto,Ordinaria,70000.0,70000.0,147000.0,50.000 – 100.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,eiffage,False,No licita,SERVICIO DE MANTENIMIENTO DE EQUIPOS DE ELECTROMEDICINA DEL EDIFICIO FISABIO OFTALMOLOGIA MEDICA
180/2017 T.U.,2017-04-01,2017.0,4.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto,Abierto,Urgente,111570.25,111570.25,167355.37,100.000 – 250.000 €,6.0,6 – 12 meses,False,0,Adjudicado,Adjudicado,agenor,False,No licita,SERVICIOS PARA EL MANTENIMIENTO INTEGRAL DE EQUIPOS DE ELECTROMEDICINA DISTRIBUIDOS EN LOS CENTROS DEPENDIENTES DEL DEPARTAMENTO DE SALUD DE ELDA
134/2017,2017-05-01,2017.0,5.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto,Abierto,Urgente,900000.0,900000.0,1890000.0,500.000 – 1 M€,3.0,< 6 meses,False,0,Adjudicado,Adjudicado,Otros,False,,SERVICIOS PARA EL MANTENIMIENTO INTEGRAL DE 8 703 EQUIPOS DE ELECTROMEDICINA DISTRIBUIDOS EN LOS CENTROS DEPENDIENTES DEL DEPARTAMENTO DE SALUD VALENCIA LA FE
